trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",20,0,-53.90484601805348,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.3, 'e': 1.0}",20,0,-24.11470330478131,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.3, 'e': 1.0}",25,0,-46.5349835529064,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 1.0}",25,0,-55.13599497136638,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 1.0}",30,0,-50.71642299667935,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 1.0}",30,0,-72.2781004957307,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 1.0}",25,0,-38.11799168743323,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 1.0}",20,0,-42.16155534014276,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 1.0}",30,0,-59.93023864395125,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 1.0}",35,0,-46.75182229677213,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 1.0}",30,0,-76.75312510645739,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 1.0}",25,0,-53.373570777996235,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 1.0}",25,0,-46.24005072161432,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 1.0}",25,0,-25.79772837828149,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 1.0}",20,0,-39.182827094578066,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 1.0}",20,0,-54.937984392696805,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 1.0}",30,0,-64.6283146812533,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 1.0}",25,0,-60.30699087712831,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 1.0}",20,0,-57.37923307645867,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 1.0}",20,0,-38.769579786861144,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 1.0}",25,0,-56.12451730673592,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 1.0}",20,0,-49.60888325344172,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 1.0}",20,0,-38.98013796316425,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 1.0}",30,0,-45.1291574355882,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 1.0}",25,0,-44.52400207103507,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.3, 'e': 1.0}",20,0,-26.38414760396428,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 1.0}",25,0,-33.405631918005994,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.3, 'e': 1.0}",25,0,-35.661512312688174,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 1.0}",25,0,-49.888372496154915,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.3, 'e': 1.0}",20,0,-52.62846350080387,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.3, 'e': 1.0}",25,0,-48.15282674824151,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
